RK,Name,Team,POS,Games_Played,At_Bats,Runs,Hits,AVG,2B,3B,Home_Runs,Runs_Batted_In,Total_Bases,Walks,Strikeouts,Stolen_Bases
1,Pete Alonso,NYM,1B,161,597,103,155,0.26,30,2,53,120,348,72,183,1
2,Eugenio Suarez,CIN,3B,159,575,87,156,0.271,22,2,49,103,329,70,189,3
3,Jorge Soler,KC,LF,162,589,95,156,0.265,33,1,48,117,335,73,178,3
4,Cody Bellinger,LAD,CF,156,558,121,170,0.305,34,3,47,115,351,95,108,15
5,Mike Trout,LAA,CF,134,470,110,137,0.291,27,2,45,104,303,110,120,11
6,Christian Yelich,MIL,LF,130,489,100,161,0.329,29,3,44,97,328,80,118,30
7,Nelson Cruz,MIN,DH,120,454,81,141,0.311,26,0,41,108,290,56,131,0
7,Nolan Arenado,COL,3B,155,588,102,185,0.315,31,2,41,118,343,62,93,3
7,Alex Bregman,HOU,3B,156,554,122,164,0.296,37,2,41,112,328,119,83,5
7,Ronald Acuna Jr.,ATL,RF,156,626,127,175,0.28,22,2,41,101,324,76,188,37
11,George Springer,HOU,CF,122,479,96,140,0.292,20,3,39,96,283,67,113,6
12,Freddie Freeman,ATL,1B,158,597,113,176,0.295,34,2,38,121,328,87,127,6
12,Kyle Schwarber,CHC,LF,155,529,82,132,0.25,29,3,38,92,281,70,156,2
12,Gleyber Torres,NYY,2B,144,546,96,152,0.278,26,0,38,90,292,48,129,5
15,Josh Donaldson,ATL,3B,155,549,96,142,0.259,33,0,37,94,286,100,155,4
15,Josh Bell,PIT,1B,143,527,94,146,0.277,37,3,37,116,300,74,118,0
15,Franmil Reyes,SD/CLE,DH,150,494,69,123,0.249,19,0,37,81,253,47,156,0
18,J.D. Martinez,BOS,DH,146,575,98,175,0.304,33,2,36,105,320,72,138,2
18,Joc Pederson,LAD,LF,149,450,83,112,0.249,16,3,36,74,242,50,111,1
18,Max Kepler,MIN,RF,134,524,98,132,0.252,32,0,36,90,272,60,99,1
18,Matt Olson,OAK,1B,127,483,73,129,0.267,26,0,36,91,263,51,138,0
18,Matt Chapman,OAK,3B,156,583,102,145,0.249,36,3,36,91,295,73,147,1
23,Mike Moustakas,MIL,3B,143,523,80,133,0.254,30,1,35,87,270,53,98,3
23,Eduardo Escobar,ARI,3B,158,636,94,171,0.269,29,10,35,118,325,50,130,5
23,Bryce Harper,PHI,DH,157,573,98,149,0.26,36,1,35,114,292,99,178,15
23,Trevor Story,COL,2B,145,588,111,173,0.294,38,5,35,85,326,58,174,23
23,Max Muncy,LAD,3B,141,487,101,122,0.251,22,1,35,98,251,90,149,4
23,Trey Mancini,BAL,DH,154,602,106,175,0.291,38,2,35,97,322,63,143,1
29,Edwin Encarnacion,SEA/NYY,DH,109,418,81,102,0.244,18,0,34,86,222,58,103,0
29,Carlos Santana,CLE,1B,158,573,110,161,0.281,30,1,34,93,295,108,108,4
29,Paul Goldschmidt,STL,1B,161,597,97,155,0.26,25,1,34,97,284,78,166,3
29,Gary Sanchez,NYY,C,106,396,62,92,0.232,12,1,34,77,208,40,125,0
29,Miguel Sano,MIN,1B,105,380,76,94,0.247,19,2,34,79,219,55,159,0
29,Anthony Rendon,WSH,3B,146,545,117,174,0.319,44,3,34,126,326,80,86,5
29,Juan Soto,WSH,RF,150,542,110,153,0.282,32,5,34,110,297,108,132,12
36,Kole Calhoun,LAA,RF,152,552,92,128,0.232,29,1,33,74,258,70,162,4
36,Xander Bogaerts,BOS,SS,155,614,110,190,0.309,52,0,33,117,341,76,122,4
36,Marcus Semien,OAK,2B,162,657,123,187,0.285,43,7,33,92,343,87,102,10
36,Jose Abreu,CHW,1B,159,634,85,180,0.284,38,1,33,123,319,36,152,2
36,Austin Meadows,TB,RF,138,530,83,154,0.291,29,7,33,89,296,54,131,12
36,Hunter Renfroe,SD,RF,140,440,64,95,0.216,19,1,33,64,215,46,154,5
36,Michael Conforto,NYM,RF,151,549,90,141,0.257,29,1,33,92,271,84,149,7
43,Charlie Blackmon,COL,DH,140,580,112,182,0.314,42,7,32,86,334,40,104,2
43,Manny Machado,SD,3B,156,587,81,150,0.256,21,2,32,85,271,65,128,5
43,Eddie Rosario,MIN,RF,137,562,91,155,0.276,28,1,32,109,281,22,86,3
43,Francisco Lindor,CLE,SS,143,598,101,170,0.284,40,2,32,74,310,46,98,22
43,Ketel Marte,ARI,2B,145,569,97,187,0.329,36,9,32,92,337,53,86,10
43,Rafael Devers,BOS,3B,156,647,129,201,0.311,54,4,32,115,359,48,119,8
49,Randal Grichuk,TOR,RF,151,586,75,136,0.232,29,5,31,80,268,35,163,2
49,Jose Altuve,HOU,2B,124,500,89,149,0.298,27,3,31,74,275,41,82,6
