RK,Team,Roster,Active,Injured Reserve,Total
1,New York Yankees,30,69232242,20477779,89710021
2,Los Angeles Dodgers,30,63422960,16586419,80009379
3,Boston Red Sox,30,43391294,15667552,59058846
4,Houston Astros,30,78018436,2098704,80117140
5,New York Mets,30,51189151,15107798,66296949
6,Chicago Cubs,30,70481778,5185185,75666963
7,Philadelphia Phillies,30,62757909,4496852,67254761
8,San Francisco Giants,30,36264864,13535622,49800486
9,St. Louis Cardinals,30,62008777,1174075,63182852
10,San Diego Padres,30,55877388,838186,56715574
11,Los Angeles Angels,30,64960781,4321648,69282429
12,Washington Nationals,30,64174147,448741,64622888
13,Atlanta Braves,30,44928451,16347037,61275488
14,Arizona Diamondbacks,30,33233780,425852,33659632
15,Texas Rangers,30,53050371,1637037,54687408
16,Colorado Rockies,30,46182221,740741,46922962
17,Cincinnati Reds,30,51103024,2212963,53315987
18,Chicago White Sox,30,48136667,2059259,50195926
19,Toronto Blue Jays,30,32443239,4335555,36778794
20,Minnesota Twins,30,39136050,6804074,45940124
21,Seattle Mariners,30,26669482,2132667,28802149
22,Detroit Tigers,30,26713447,10356481,37069928
23,Milwaukee Brewers,30,36898572,2506704,39405276
24,Cleveland Indians,30,36239337,694444,36933781
25,Kansas City Royals,30,32316226,2093083,34409309
26,Oakland Athletics,30,35311894,208704,35520598
27,Tampa Bay Rays,30,25888333,424926,26313259
28,Miami Marlins,30,17356374,1204445,18560819
29,Pittsburgh Pirates,30,12013521,9757407,21770928
30,Baltimore Orioles,30,21524874,2393703,23918577
