RK,Team,ABR,Home_Games,Home_Total,Home_Avg,Road_Games,Road_Avg,Overall_Games,Overall_Avg
1,Los Angeles Dodgers,LA,81,3974309,49065,81,33427,162,41246
2,St. Louis Cardinals,STL,81,3480393,42967,81,29447,162,36207
3,New York Yankees,NYY,79,3304404,41827,80,30759,159,36258
4,Chicago Cubs,CHC,81,3094865,38208,81,33454,162,35831
5,Los Angeles Angels,LAA,81,3023010,37321,81,26849,162,32085
6,Colorado Rockies,COL,81,2993244,36953,81,30528,162,33741
7,Boston Red Sox,BOS,81,2924627,36106,81,28027,162,32066
8,Milwaukee Brewers,MIL,81,2923333,36090,81,29727,162,32909
9,Houston Astros,HOU,81,2857367,35276,80,26302,161,30817
10,Philadelphia Phillies,PHI,81,2727421,33671,81,28958,162,31315
11,San Francisco Giants,SF,81,2707760,33429,81,32452,162,32940
12,Atlanta Braves,ATl,81,2654920,32776,80,28829,161,30815
13,New York Mets,NYM,80,2442532,30531,81,29425,161,29975
14,San Diego Padres,SD,81,2396399,29585,81,32446,162,31015
15,Minnesota Twins,MIN,81,2294152,28322,80,23505,161,25928
16,Washington Nationals,WAS,81,2259781,27898,81,29054,162,28476
17,Arizona Diamondbacks,ARI,81,2135510,26364,81,28993,162,27678
18,Texas Rangers,TEX,81,2133004,26333,80,26601,161,26466
19,Cincinnati Reds,CIN,81,1808685,22329,81,30425,162,26377
20,Seattle Mariners,SEA,81,1791937,22122,81,26548,162,24335
21,Cleveland Guardians,CLE,79,1738642,22008,81,24944,160,23494
22,Toronto Blue Jays,TOR,81,1750144,21606,81,25904,162,23755
23,Chicago White Sox,CWS,76,1629636,21442,81,24384,157,22960
24,Oakland Athletics,OAK,81,1662211,20521,81,27615,162,24068
25,Detroit Tigers,DET,80,1501430,18767,79,24826,159,21778
26,Kansas City Royals,KC,80,1479659,18495,80,25072,160,21783
27,Pittsburgh Pirates,PIT,81,1491429,18412,81,32070,162,25241
28,Baltimore Orioles,BAL,80,1307807,16347,78,25484,158,20858
29,Tampa Bay Rays,TB,80,1178735,14734,79,26067,159,20365
30,Miami Marlins,MIA,81,811302,10016,80,27812,161,18858
